rank,primary_isbn13,rank_last_week,weeks_on_list,list_date,list_name,rank_change
1,9780385537148,4,9,2014-12-20,combined-print-and-e-book-fiction,-3
2,9780307588388,3,108,2014-12-20,combined-print-and-e-book-fiction,-1
3,9781476746609,1,14,2014-12-20,combined-print-and-e-book-fiction,2
4,9780316210966,5,4,2014-12-20,combined-print-and-e-book-fiction,-1
5,9781455521272,2,5,2014-12-20,combined-print-and-e-book-fiction,3
6,9781476770383,8,6,2014-12-20,combined-print-and-e-book-fiction,-2
7,9780316225922,6,7,2014-12-20,combined-print-and-e-book-fiction,1
8,9780399173356,9,3,2014-12-20,combined-print-and-e-book-fiction,-1
9,9780698138636,10,15,2014-12-20,combined-print-and-e-book-fiction,-1
10,9780345544926,12,10,2014-12-20,combined-print-and-e-book-fiction,-2
11,9780698153462,13,5,2014-12-20,combined-print-and-e-book-fiction,-2
12,9780553418026,0,1,2014-12-20,combined-print-and-e-book-fiction,12
13,9780061950728,15,38,2014-12-20,combined-print-and-e-book-fiction,-2
14,9780307459923,0,7,2014-12-20,combined-print-and-e-book-fiction,14
15,9781594204999,0,1,2014-12-20,combined-print-and-e-book-fiction,15
16,9780316055437,0,0,2014-12-20,combined-print-and-e-book-fiction,16
17,9780062325341,0,0,2014-12-20,combined-print-and-e-book-fiction,17
18,9780307341556,0,0,2014-12-20,combined-print-and-e-book-fiction,18
19,9780061122415,0,0,2014-12-20,combined-print-and-e-book-fiction,19
20,9780525953098,0,0,2014-12-20,combined-print-and-e-book-fiction,20
1,9780307588388,2,109,2014-12-27,combined-print-and-e-book-fiction,-1
2,9781476746609,3,15,2014-12-27,combined-print-and-e-book-fiction,-1
3,9780385537148,1,10,2014-12-27,combined-print-and-e-book-fiction,2
4,9780316210966,4,5,2014-12-27,combined-print-and-e-book-fiction,0
5,9781455521272,5,6,2014-12-27,combined-print-and-e-book-fiction,0
6,9780698138636,9,16,2014-12-27,combined-print-and-e-book-fiction,-3
7,9781476770383,6,7,2014-12-27,combined-print-and-e-book-fiction,1
8,9780316225922,7,8,2014-12-27,combined-print-and-e-book-fiction,1
9,9780399173356,8,4,2014-12-27,combined-print-and-e-book-fiction,1
10,9780804139038,12,2,2014-12-27,combined-print-and-e-book-fiction,-2
11,9780307459923,14,8,2014-12-27,combined-print-and-e-book-fiction,-3
12,9780345544926,10,11,2014-12-27,combined-print-and-e-book-fiction,2
13,9781926440125,0,1,2014-12-27,combined-print-and-e-book-fiction,13
14,9781455520664,0,17,2014-12-27,combined-print-and-e-book-fiction,14
15,9780061122415,0,5,2014-12-27,combined-print-and-e-book-fiction,15
16,9780062325365,0,0,2014-12-27,combined-print-and-e-book-fiction,16
17,9780698153462,0,0,2014-12-27,combined-print-and-e-book-fiction,17
18,9781612130293,0,0,2014-12-27,combined-print-and-e-book-fiction,18
19,9780061950728,0,0,2014-12-27,combined-print-and-e-book-fiction,19
20,9780307341556,0,0,2014-12-27,combined-print-and-e-book-fiction,20
1,9781476746609,2,16,2015-01-03,combined-print-and-e-book-fiction,-1
2,9780307588388,1,110,2015-01-03,combined-print-and-e-book-fiction,1
3,9780698138636,6,17,2015-01-03,combined-print-and-e-book-fiction,-3
4,9780345543868,0,1,2015-01-03,combined-print-and-e-book-fiction,4
5,9780385539166,3,11,2015-01-03,combined-print-and-e-book-fiction,2
6,9781455521272,5,7,2015-01-03,combined-print-and-e-book-fiction,1
7,9780316225922,8,9,2015-01-03,combined-print-and-e-book-fiction,-1
8,9780316210942,4,6,2015-01-03,combined-print-and-e-book-fiction,4
9,9781311179036,0,1,2015-01-03,combined-print-and-e-book-fiction,9
10,9781420135947,0,1,2015-01-03,combined-print-and-e-book-fiction,10
11,9780307459923,11,9,2015-01-03,combined-print-and-e-book-fiction,0
12,9780698186057,0,1,2015-01-03,combined-print-and-e-book-fiction,12
13,9780698164635,0,1,2015-01-03,combined-print-and-e-book-fiction,13
14,9781460345795,0,1,2015-01-03,combined-print-and-e-book-fiction,14
15,9781612130293,0,71,2015-01-03,combined-print-and-e-book-fiction,15
16,9781926440132,0,0,2015-01-03,combined-print-and-e-book-fiction,16
17,9780698153462,0,0,2015-01-03,combined-print-and-e-book-fiction,17
18,9781926440125,0,0,2015-01-03,combined-print-and-e-book-fiction,18
19,9780698173064,0,0,2015-01-03,combined-print-and-e-book-fiction,19
20,9780804139038,0,0,2015-01-03,combined-print-and-e-book-fiction,20
1,9781476746609,1,17,2015-01-10,combined-print-and-e-book-fiction,0
2,9780307588388,2,111,2015-01-10,combined-print-and-e-book-fiction,0
3,9780698154155,0,1,2015-01-10,combined-print-and-e-book-fiction,3
4,9780698138636,3,18,2015-01-10,combined-print-and-e-book-fiction,1
5,9781940218335,0,1,2015-01-10,combined-print-and-e-book-fiction,5
6,9780385539166,5,12,2015-01-10,combined-print-and-e-book-fiction,1
7,9781455521272,6,8,2015-01-10,combined-print-and-e-book-fiction,1
8,9781101621004,0,1,2015-01-10,combined-print-and-e-book-fiction,8
9,9780345539823,0,1,2015-01-10,combined-print-and-e-book-fiction,9
10,9781612130293,15,72,2015-01-10,combined-print-and-e-book-fiction,-5
11,9780316210942,8,7,2015-01-10,combined-print-and-e-book-fiction,3
12,9780316225922,7,10,2015-01-10,combined-print-and-e-book-fiction,5
13,9781311179036,9,2,2015-01-10,combined-print-and-e-book-fiction,4
14,9781439157039,0,1,2015-01-10,combined-print-and-e-book-fiction,14
15,9780307459923,11,10,2015-01-10,combined-print-and-e-book-fiction,4
16,A00B00RZVNDSS,0,0,2015-01-10,combined-print-and-e-book-fiction,16
17,9780345539953,0,0,2015-01-10,combined-print-and-e-book-fiction,17
18,9780062250742,0,0,2015-01-10,combined-print-and-e-book-fiction,18
19,9780062101204,0,0,2015-01-10,combined-print-and-e-book-fiction,19
20,9780804139038,0,0,2015-01-10,combined-print-and-e-book-fiction,20
1,9780698185395,0,1,2015-01-17,combined-print-and-e-book-fiction,1
2,9780345545886,0,1,2015-01-17,combined-print-and-e-book-fiction,2
3,9780307588388,2,112,2015-01-17,combined-print-and-e-book-fiction,1
4,9781476746609,1,18,2015-01-17,combined-print-and-e-book-fiction,3
5,9780698138636,4,19,2015-01-17,combined-print-and-e-book-fiction,1
6,9780698157279,0,1,2015-01-17,combined-print-and-e-book-fiction,6
7,9781612130293,10,73,2015-01-17,combined-print-and-e-book-fiction,-3
8,9781439157039,14,2,2015-01-17,combined-print-and-e-book-fiction,-6
9,9781426898761,0,1,2015-01-17,combined-print-and-e-book-fiction,9
10,9780385539166,6,13,2015-01-17,combined-print-and-e-book-fiction,4
11,9781455521272,7,9,2015-01-17,combined-print-and-e-book-fiction,4
12,A00B00RSL6G2K,0,1,2015-01-17,combined-print-and-e-book-fiction,12
13,9780307459923,15,11,2015-01-17,combined-print-and-e-book-fiction,-2
14,9781940218335,5,2,2015-01-17,combined-print-and-e-book-fiction,9
15,9780316210942,11,8,2015-01-17,combined-print-and-e-book-fiction,4
16,9780062132451,0,0,2015-01-17,combined-print-and-e-book-fiction,16
17,9780316225922,0,0,2015-01-17,combined-print-and-e-book-fiction,17
18,9780062101204,0,0,2015-01-17,combined-print-and-e-book-fiction,18
19,9780990317074,0,0,2015-01-17,combined-print-and-e-book-fiction,19
20,9780698154155,0,0,2015-01-17,combined-print-and-e-book-fiction,20
1,9780698185395,1,2,2015-01-24,combined-print-and-e-book-fiction,0
2,9781476746609,4,19,2015-01-24,combined-print-and-e-book-fiction,-2
3,9780307588388,3,113,2015-01-24,combined-print-and-e-book-fiction,0
4,9780440339816,0,1,2015-01-24,combined-print-and-e-book-fiction,4
5,9781612130293,7,74,2015-01-24,combined-print-and-e-book-fiction,-2
6,9780698138636,5,20,2015-01-24,combined-print-and-e-book-fiction,1
7,9781439157039,8,3,2015-01-24,combined-print-and-e-book-fiction,-1
8,9780307459923,13,12,2015-01-24,combined-print-and-e-book-fiction,-5
9,9781455521272,11,10,2015-01-24,combined-print-and-e-book-fiction,-2
10,9780385539166,10,14,2015-01-24,combined-print-and-e-book-fiction,0
11,9780345545886,2,2,2015-01-24,combined-print-and-e-book-fiction,9
12,9781250019844,0,1,2015-01-24,combined-print-and-e-book-fiction,12
13,9781940218335,14,3,2015-01-24,combined-print-and-e-book-fiction,-1
14,9780316210942,15,9,2015-01-24,combined-print-and-e-book-fiction,-1
15,9780804170734,0,1,2015-01-24,combined-print-and-e-book-fiction,15
16,9780062101204,0,0,2015-01-24,combined-print-and-e-book-fiction,16
17,9781612130590,0,0,2015-01-24,combined-print-and-e-book-fiction,17
18,9780316225922,0,0,2015-01-24,combined-print-and-e-book-fiction,18
19,A00B00PKTN7SI,0,0,2015-01-24,combined-print-and-e-book-fiction,19
20,9780679645115,0,0,2015-01-24,combined-print-and-e-book-fiction,20
1,9780698185395,1,3,2015-01-31,combined-print-and-e-book-fiction,0
2,9780316211147,0,1,2015-01-31,combined-print-and-e-book-fiction,2
3,9781612130293,5,75,2015-01-31,combined-print-and-e-book-fiction,-2
4,9781476746609,2,20,2015-01-31,combined-print-and-e-book-fiction,2
5,9780698180567,0,1,2015-01-31,combined-print-and-e-book-fiction,5
6,9780307588388,3,114,2015-01-31,combined-print-and-e-book-fiction,3
7,A00B00Q6JAL76,0,1,2015-01-31,combined-print-and-e-book-fiction,7
8,9780062072955,0,1,2015-01-31,combined-print-and-e-book-fiction,8
9,9780698138636,6,21,2015-01-31,combined-print-and-e-book-fiction,3
10,9780062075826,0,1,2015-01-31,combined-print-and-e-book-fiction,10
11,9781439157039,7,4,2015-01-31,combined-print-and-e-book-fiction,4
12,9780062312495,0,1,2015-01-31,combined-print-and-e-book-fiction,12
13,9781612130590,0,56,2015-01-31,combined-print-and-e-book-fiction,13
14,9781455521272,9,11,2015-01-31,combined-print-and-e-book-fiction,5
15,9780385539166,10,15,2015-01-31,combined-print-and-e-book-fiction,5
16,9780307459923,0,0,2015-01-31,combined-print-and-e-book-fiction,16
17,9781940218335,0,0,2015-01-31,combined-print-and-e-book-fiction,17
18,9780345545886,0,0,2015-01-31,combined-print-and-e-book-fiction,18
19,9780345803573,0,0,2015-01-31,combined-print-and-e-book-fiction,19
20,9780062101204,0,0,2015-01-31,combined-print-and-e-book-fiction,20
1,9780698185395,1,4,2015-02-07,combined-print-and-e-book-fiction,0
2,9781612130293,3,76,2015-02-07,combined-print-and-e-book-fiction,-1
3,9781466850606,0,1,2015-02-07,combined-print-and-e-book-fiction,3
4,9780698186170,0,1,2015-02-07,combined-print-and-e-book-fiction,4
5,9781476746609,4,21,2015-02-07,combined-print-and-e-book-fiction,1
6,9780316211147,2,2,2015-02-07,combined-print-and-e-book-fiction,4
7,9780307588388,6,115,2015-02-07,combined-print-and-e-book-fiction,1
8,9781612130590,13,57,2015-02-07,combined-print-and-e-book-fiction,-5
9,9780345803573,0,17,2015-02-07,combined-print-and-e-book-fiction,9
10,9780698138636,9,22,2015-02-07,combined-print-and-e-book-fiction,1
11,9781612130613,0,54,2015-02-07,combined-print-and-e-book-fiction,11
12,9781439157039,11,5,2015-02-07,combined-print-and-e-book-fiction,1
